session_id,num_docs,avg_edit_distance,total_edit_distance,quality_improvements,judge_score
00ad533c251143bf820de08ccf9c8725,10,11.8,118,8,10.0
02e829866c92492c8d5a115dd271340b,10,16.3,163,10,10.0
0507b59d27aa4760a3a93b5d65dfa34f,10,3.5,35,6,9.0
062c0e08f61d4cecbf5c361f54ca49fa,10,7.4,74,6,10.0
07dd47ae8e8f4f0c95259b238c6b2c88,10,18.3,183,8,10.0
0bb17fa0ba5e4e81a343fbf2083b17a0,10,20.0,200,6,9.0
0e6341d5070b47129bae16039801e5dc,10,14.8,148,8,10.0
12195ed75008463084d1b299d6c39106,10,18.7,187,8,10.0
12b1f4463f154a35bcf6a8d2fc29f11e,10,16.4,164,6,10.0
1798ba36b08c4330b833dbdbb10c12bd,10,9.5,95,4,10.0
1e12880b51d34b36855b10c20b093f51,10,20.0,200,6,10.0
1eebb6ff09504ac1b634ac8658914517,10,9.3,93,6,10.0
219ddc2f81284ea1965c9a4954c324d3,10,9.4,94,5,10.0
247686518e064000abb326058418775b,10,8.8,88,2,10.0
28bf9567772343e6a750d4ffa1d66b81,10,5.8,58,6,10.0
297c548f9c7245c980edfdc9942c0eb0,10,21.8,218,10,10.0
33ed961dd4d4457e8038b7164a76a0c5,10,21.7,217,9,9.667
382103dda6c142a9b7df9ef98611d69f,10,24.7,247,9,10.0
3af887d1376041dbbcd9f2d14b74cac0,10,21.1,211,9,10.0
3caafccac759472a82d79b691936d4ab,10,5.2,52,4,10.0
401cfa40725d4293aa15a0b2194d8c7d,10,8.6,86,4,10.0
410620c258214ac3bbe17817deeb2e84,10,17.3,173,3,10.0
42a461ae96d4428e8e362d68643e1022,10,8.2,82,4,10.0
48f4802b5b2e43a69d685c69a8727804,10,12.7,127,6,10.0
59bd28584dd248fe935e8656bff7f5aa,10,17.7,177,8,9.667
5f56416aaec647039081dc74dbfc85c0,10,33.0,330,8,10.0
5f7b6c99ae9643b7819ee80b3db2cce3,10,28.4,284,10,10.0
5f93fb6986e0430292dbe9c5093b286f,10,14.7,147,7,10.0
6018bc194f8f47ba81737eed89fd7842,10,20.8,208,7,10.0
64ba56d3fc4540df863570d80c59ef7b,10,8.6,86,9,10.0
6735a888e402487ba50f3a1661e2dff5,10,13.3,133,5,10.0
6b847bb580cc4718a5a731da5168c239,10,22.8,228,3,10.0
6ba5b7e355d442a6af7fed4af5a1249b,10,12.1,121,7,9.333
6c3f9d410cb6439aa284aad564f80cd6,10,14.5,145,8,10.0
6c42a51fdbac4a0b974244b58bff3530,10,11.8,118,8,10.0
6c7bf48a423c41bc928646bb88d09182,10,5.9,59,5,10.0
6da3b3dbf9fc4c96a7983db04f3ef762,10,10.2,102,5,10.0
7d706733bdf94fc483b8327eef3b42ed,10,20.1,201,6,10.0
7f2bf3af9a4b467db7d2d0484987f5f2,10,9.8,98,3,10.0
8945ad0f6c034166bec7247511213548,10,7.7,77,5,9.667
89e8c66168b34f9b935c0bf0c7cd71c5,10,2.4,24,2,10.0
8d04dfc1924147e19c166bd3d7249a3d,10,12.4,124,4,9.0
8d879bd873f84928ae4be005bebd8d69,10,0.0,0,0,10.0
910ed05f972441569b47d7b81a212ecd,10,13.2,132,7,10.0
9b887173efd94424912063d8a680eb82,10,44.1,441,10,10.0
9f41e41e1167404896c09b91f66c92f9,10,18.5,185,4,10.0
a25fbcc24e0a4fea868fd44852208b24,10,11.4,114,6,10.0
a4d78cedf9ca4fe8b61885fa0759c39f,10,9.5,95,8,10.0
a61c1c28e8ad4260abbaabc5d4c6370d,10,14.7,147,8,10.0
a73e2f89904a435ea794f183de998370,10,12.9,129,9,10.0
ae282899905d44f395388117ce456dc0,10,16.6,166,5,10.0
af209108bd6f44978aad69bf0e3fa546,10,13.8,138,9,9.667
b13f8734bbe642c9863322135cd7cd65,10,38.9,389,10,9.667
b16e115cefad4b3c814fbc637b8565e6,10,48.0,480,10,10.0
b293c0b362964e4baff80bbb948b4393,10,6.5,65,1,10.0
b3c70d27f61e42e8900c86495bc6636c,10,17.6,176,3,10.0
b918e982dc4d4c61905ebd0b415535a5,10,6.2,62,6,10.0
ba672afa57f04cddaf07320707d9b21f,10,11.9,119,6,10.0
bd029b231dfb4560bac60c91d6587f75,10,12.5,125,7,10.0
bd98e3c1f59e440289af6cf8de8514be,10,14.6,146,9,10.0
be383690f0dc4df29c6ff086fdd1193d,10,17.0,170,8,10.0
bf3281a75e4343cd97d3d5c64c6cb6c3,10,3.9,39,0,10.0
c1703751f346430bb86e381f8a9400aa,10,6.0,60,6,10.0
c459ee68cbfd40679cfd00e374a849a1,10,13.8,138,4,10.0
c557ea133c8e4fc6b3852c21f8da1510,10,10.1,101,6,10.0
c7dd721f7b114ab4a88a3a85c58e15cb,10,7.2,72,3,9.667
c9c7d2a9d21e45ba8cafd524bfaf1de2,10,24.7,247,8,10.0
ca3d50e097d34efc80a8a96afcb42d1e,10,15.3,153,6,10.0
d9ec9c1f08094f99bf61b2cdd9bac9b7,10,3.8,38,6,10.0
e0d789cfeee44eb7ade0c5fb2bd4b781,10,8.9,89,5,10.0
e2654f9ef7294e07bf092d54e2813a6c,10,14.5,145,4,10.0
e57d8c09caa4414e859df62181980cb1,10,11.0,110,6,10.0
e8413d582ebe4eabbe506c41941b6836,10,4.2,42,3,10.0
ea565af9f33c409585734547d794b108,10,7.0,70,5,10.0
ec1499bad57d4b8a8449e4ed7c7ba7e1,10,12.0,120,9,10.0
ed19bd65d7e94dfd969aa5d140eab155,10,26.6,266,7,10.0
f22070003ae34450831a5bc51fa3414d,10,3.6,36,4,10.0
f9df35cfe64342528767a4fcaa3afb8f,10,39.6,396,6,9.333
fdb8129c4ab548f8835d2ec887b215d8,10,10.8,108,7,10.0
ffba002405bb49ffa9730d3a46668c8d,10,11.9,119,3,8.667
